# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b3477	ENA|U00096|U00096.3	3615241	3616185	+	945	236	892	519	794	1066	374	1236	1385	1127	9344	10191	10883	4453	12319	9131
gene-b3478	ENA|U00096|U00096.3	3616182	3617015	+	834	163	634	320	564	816	238	1287	1295	1278	4526	6953	5925	2497	4644	4501
gene-b3479	ENA|U00096|U00096.3	3617015	3617779	+	765	148	580	307	455	833	282	1428	1602	955	3410	6869	5725	2087	4977	2296
gene-b3480	ENA|U00096|U00096.3	3617776	3618582	+	807	84	382	205	283	614	156	1116	1309	757	1925	4442	3951	1084	3588	1138
gene-b3481	ENA|U00096|U00096.3	3618588	3618989	+	402	86	293	144	186	519	144	883	996	517	1699	3724	3362	881	2501	1295
gene-b3482	ENA|U00096|U00096.3	3619192	3623427	+	4236	8	28	13	26	56	20	68	79	805	128	276	303	62	200	140
gene-b3483	ENA|U00096|U00096.3	3623399	3623782	+	384	0	1	2	1	12	3	11	18	158	17	47	44	5	22	22
gene-b3484	ENA|U00096|U00096.3	3624378	3625514	+	1137	1	6	4	13	19	9	23	57	721	39	70	78	31	72	49
gene-b3485	ENA|U00096|U00096.3	3625679	3626803	-	1125	6	41	19	52	58	19	72	86	1070	325	473	862	260	461	897
gene-b3486	ENA|U00096|U00096.3	3626803	3629538	-	2736	27	83	53	66	149	49	136	138	1587	648	784	1482	521	1033	2024
gene-b3487	ENA|U00096|U00096.3	3629535	3630602	-	1068	25	117	63	132	211	83	234	282	1123	851	1375	2201	656	1817	1670
gene-b4790	ENA|U00096|U00096.3	3630665	3630778	-	114	14	35	33	125	186	68	235	218	161	535	783	1225	341	1127	938
gene-b3488	ENA|U00096|U00096.3	3630968	3632590	-	1623	5	14	5	14	36	9	36	40	494	82	126	171	46	127	67
gene-b3491	ENA|U00096|U00096.3	3634841	3635893	+	1053	2	5	8	13	19	6	23	22	364	69	83	90	27	74	70
gene-b3492	ENA|U00096|U00096.3	3636208	3637410	-	1203	63	223	116	244	488	171	749	859	1360	1425	1776	2274	796	1914	1342
gene-b3493	ENA|U00096|U00096.3	3637642	3639141	+	1500	378	1191	791	1636	2732	1153	4974	4797	3326	9655	11416	12572	5483	14610	10346
gene-b3494	ENA|U00096|U00096.3	3639385	3639720	-	336	16	20	21	30	56	25	52	60	310	212	377	606	167	586	437
gene-b3495	ENA|U00096|U00096.3	3640111	3640545	+	435	397	1343	805	1262	2529	833	1264	1659	1090	10522	22892	41540	13499	37575	32218
gene-b4791	ENA|U00096|U00096.3	3640612	3640686	-	75	1	0	0	0	3	0	1	2	19	0	3	2	2	6	4
gene-b4792	ENA|U00096|U00096.3	3640643	3640696	-	54	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0
gene-b3496	ENA|U00096|U00096.3	3640862	3642331	+	1470	82	451	270	451	834	301	762	1071	1453	3858	6951	9925	2510	7769	4735
gene-b3497	ENA|U00096|U00096.3	3642380	3643132	-	753	27	112	83	185	276	117	577	437	867	858	870	1330	624	1108	1191
gene-b3498	ENA|U00096|U00096.3	3643140	3645182	-	2043	201	526	408	968	1293	592	2428	1888	1946	4306	5560	7985	3769	7951	8051
gene-b3499	ENA|U00096|U00096.3	3645385	3646227	+	843	138	554	359	493	967	398	1565	1771	1250	2932	4237	6720	2172	5195	5972
gene-b3500	ENA|U00096|U00096.3	3646299	3647651	+	1353	284	945	681	1185	2070	862	2864	3216	2789	6038	8798	14642	4882	13937	11749
gene-b4613	ENA|U00096|U00096.3	3647705	3647788	-	84	165	426	345	487	875	421	817	596	515	1103	1595	2172	652	2349	1663
gene-b4712	ENA|U00096|U00096.3	3648063	3648144	+	82	9	12	12	24	62	25	97	108	70	155	255	388	114	296	260
gene-b4713	ENA|U00096|U00096.3	3648294	3648375	+	82	1	6	5	16	50	6	82	86	47	88	99	148	45	99	90
gene-b3501	ENA|U00096|U00096.3	3648528	3648881	+	354	2	6	7	10	17	6	25	27	115	76	93	161	45	125	124
gene-b3502	ENA|U00096|U00096.3	3648935	3650224	+	1290	2	17	5	18	29	9	39	38	747	124	153	236	119	244	215
gene-b3503	ENA|U00096|U00096.3	3650237	3650662	+	426	6	17	6	25	39	15	44	49	269	176	265	373	123	344	285
gene-b3505	ENA|U00096|U00096.3	3652182	3653162	-	981	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-b3506	ENA|U00096|U00096.3	3653961	3654527	+	567	16	44	37	39	110	31	88	121	312	211	476	522	97	333	262
gene-b3507	ENA|U00096|U00096.3	3654683	3655213	+	531	0	0	2	8	10	2	3	9	110	20	71	40	4	14	20
gene-b3508	ENA|U00096|U00096.3	3655255	3655902	-	648	0	0	0	1	2	1	0	6	377	2	12	12	0	9	15
gene-b3509	ENA|U00096|U00096.3	3655966	3656292	-	327	1	2	0	4	4	1	15	9	96	15	34	42	6	25	16
gene-b3510	ENA|U00096|U00096.3	3656408	3656740	-	333	1	6	2	25	14	7	19	15	103	70	115	148	52	126	81
gene-b3511	ENA|U00096|U00096.3	3656995	3657567	+	573	7	19	9	38	59	22	70	63	432	181	308	388	84	207	204
gene-b4704	ENA|U00096|U00096.3	3657985	3658054	-	70	0	0	0	0	0	0	1	1	21	2	3	4	1	2	2
gene-b3512	ENA|U00096|U00096.3	3658366	3658893	+	528	0	16	6	10	40	9	10	24	144	65	321	208	29	111	61
gene-b4718	ENA|U00096|U00096.3	3658992	3659082	+	91	0	4	3	6	8	2	3	10	55	20	76	44	8	20	20
gene-b3513	ENA|U00096|U00096.3	3659232	3660389	+	1158	3	24	8	15	46	16	27	63	340	98	239	237	55	162	136
gene-b3514	ENA|U00096|U00096.3	3660414	3663527	+	3114	9	94	37	102	199	55	206	309	1809	493	966	1183	271	795	676
gene-b3515	ENA|U00096|U00096.3	3663890	3664618	-	729	4	14	5	22	34	5	38	42	176	116	152	172	36	97	65
gene-b4452	ENA|U00096|U00096.3	3664864	3664969	+	106	0	8	8	7	6	5	10	13	23	21	24	35	8	17	9
gene-b3516	ENA|U00096|U00096.3	3664986	3665810	-	825	15	47	26	102	148	46	147	171	279	675	1089	1347	256	503	452
gene-b3517	ENA|U00096|U00096.3	3666180	3667580	-	1401	0	1	1	6	7	3	12	11	148	35	43	53	16	53	43
gene-b3518	ENA|U00096|U00096.3	3667791	3669188	-	1398	13	74	34	131	174	72	204	209	1354	645	962	1274	372	1106	663
gene-b3519	ENA|U00096|U00096.3	3669592	3671241	+	1650	15	29	26	41	61	29	76	78	877	281	312	489	149	388	355
gene-b3520	ENA|U00096|U00096.3	3671292	3671894	-	603	4	20	8	43	80	26	86	98	603	168	242	255	97	219	180
gene-b3521	ENA|U00096|U00096.3	3672414	3673313	+	900	10	20	21	42	49	20	75	72	368	412	503	786	289	586	761
gene-b3522	ENA|U00096|U00096.3	3673362	3674375	+	1014	16	30	28	48	69	24	72	60	432	406	493	850	327	660	747
gene-b3523	ENA|U00096|U00096.3	3674786	3676108	+	1323	17	39	24	44	72	33	79	79	986	298	407	721	281	562	645
gene-b3524	ENA|U00096|U00096.3	3676290	3678350	-	2061	10	35	19	35	66	25	64	56	2561	283	406	668	178	456	393
gene-b3525	ENA|U00096|U00096.3	3678420	3679187	-	768	1	3	2	4	8	3	5	12	414	28	46	65	14	47	43
gene-b3526	ENA|U00096|U00096.3	3679419	3680348	+	930	31	129	94	132	243	107	295	336	591	1013	1622	2146	789	2373	1914
gene-b3527	ENA|U00096|U00096.3	3680444	3681940	-	1497	81	295	181	284	680	242	720	952	1334	1965	3024	4612	1153	3653	2615
gene-b3528	ENA|U00096|U00096.3	3682161	3683447	-	1287	23	54	43	81	138	55	240	221	1138	544	724	1077	392	928	1143
gene-b3529	ENA|U00096|U00096.3	3683630	3685618	-	1989	77	204	130	231	383	144	444	519	1404	1555	2069	2727	1049	2849	2055
gene-b3530	ENA|U00096|U00096.3	3685700	3689173	-	3474	106	459	280	425	878	333	1095	1197	2492	3073	5529	5379	1976	4645	4625
gene-b3531	ENA|U00096|U00096.3	3689155	3690261	-	1107	25	112	79	126	230	85	302	317	964	965	1344	2011	580	1714	1257
gene-b3532	ENA|U00096|U00096.3	3690268	3692607	-	2340	90	305	249	325	558	219	832	857	1650	2829	4701	5541	1812	5319	2772
gene-b3533	ENA|U00096|U00096.3	3692618	3695236	-	2619	56	181	109	207	316	143	506	491	1994	1861	2311	3106	1251	2682	2810
gene-b3535	ENA|U00096|U00096.3	3695997	3696185	-	189	11	13	11	25	62	35	72	59	61	238	318	529	119	512	320
gene-b3536	ENA|U00096|U00096.3	3696458	3698029	+	1572	85	303	237	326	626	225	514	562	1331	3099	4867	8034	2358	5426	4941
gene-b3537	ENA|U00096|U00096.3	3698026	3698217	+	192	8	20	7	14	32	10	13	24	25	119	199	320	108	301	182
gene-b3538	ENA|U00096|U00096.3	3698214	3699893	+	1680	50	216	178	158	335	117	365	384	1080	1669	2044	3382	1137	3133	2627
gene-b4453	ENA|U00096|U00096.3	3699980	3700087	-	108	41	123	96	143	262	121	269	309	333	341	582	706	262	762	656
gene-b4454	ENA|U00096|U00096.3	3700136	3700199	+	64	2	32	17	24	50	11	89	139	57	130	131	277	88	125	160
gene-b3539	ENA|U00096|U00096.3	3700563	3701834	+	1272	23	115	82	242	437	180	853	768	1242	1127	1247	1493	528	1051	773
gene-b3540	ENA|U00096|U00096.3	3701864	3702868	-	1005	30	58	85	135	169	86	347	280	1002	782	941	1679	769	1693	1910
gene-b3541	ENA|U00096|U00096.3	3702865	3703848	-	984	24	57	63	95	115	68	311	298	906	659	713	1263	631	1271	1458
gene-b3542	ENA|U00096|U00096.3	3703859	3704761	-	903	23	58	63	79	117	50	257	235	929	539	544	971	516	1013	1282
gene-b3543	ENA|U00096|U00096.3	3704771	3705790	-	1020	15	48	35	45	73	35	132	126	799	337	385	799	375	736	889
gene-b3544	ENA|U00096|U00096.3	3706098	3707705	-	1608	102	271	251	409	628	288	986	749	1437	2455	2919	5335	2204	4711	5414
gene-b3545	ENA|U00096|U00096.3	3708616	3708692	-	77	14	65	43	72	154	77	188	267	201	376	462	541	245	663	454
gene-b3546	ENA|U00096|U00096.3	3708784	3710475	-	1692	229	830	544	956	2213	850	3050	3216	2914	6583	9330	11870	3635	10138	6508
gene-b3547	ENA|U00096|U00096.3	3710799	3712007	-	1209	29	55	63	76	88	64	87	79	725	166	264	434	109	239	210
gene-b3548	ENA|U00096|U00096.3	3712236	3712934	-	699	5	15	11	19	44	9	32	50	276	231	380	546	148	539	354
gene-b3549	ENA|U00096|U00096.3	3713092	3713655	+	564	27	64	35	92	133	39	151	169	695	669	1034	1320	363	940	801
gene-b3550	ENA|U00096|U00096.3	3713652	3714092	+	441	13	24	25	37	71	21	69	63	377	293	423	536	185	419	313
gene-b3551	ENA|U00096|U00096.3	3714061	3716394	-	2334	83	214	169	273	509	173	652	642	2189	2321	2503	3716	1452	3527	3169
gene-b3552	ENA|U00096|U00096.3	3716547	3717206	+	660	225	590	476	2233	2163	1058	3531	2508	1958	4045	4392	6925	3633	7519	7187
gene-b3553	ENA|U00096|U00096.3	3717310	3718284	+	975	224	829	470	859	1409	450	1571	1448	1402	8256	11282	14665	6105	13110	10350
gene-b3554	ENA|U00096|U00096.3	3718334	3719044	-	711	319	1003	617	1027	1927	727	2220	2502	1895	9527	14816	18724	6287	17243	12291
gene-b3555	ENA|U00096|U00096.3	3719478	3719768	+	291	6	27	20	31	60	21	59	81	211	254	415	582	135	412	302
gene-b3556	ENA|U00096|U00096.3	3720049	3720261	+	213	11450	39107	24894	154136	364861	125610	502739	310518	261827	480316	713039	777782	169430	196666	229261
gene-b4793	ENA|U00096|U00096.3	3720400	3720471	+	72	5	20	11	41	148	40	238	215	216	165	284	335	69	54	76
gene-b4455	ENA|U00096|U00096.3	3720448	3720600	-	153	0	1	0	1	2	0	2	0	87	2	9	6	3	6	3
gene-b3557	ENA|U00096|U00096.3	3720680	3721201	+	522	26	84	61	133	392	132	684	761	1321	769	1125	1526	416	1232	885
gene-b3558	ENA|U00096|U00096.3	3721198	3722049	+	852	14	51	22	94	271	89	480	542	1329	648	790	1049	284	689	548
gene-b3559	ENA|U00096|U00096.3	3722328	3724397	-	2070	1518	4242	3043	8373	12162	5150	25844	21649	13340	33979	45541	51195	26273	54977	46517
gene-b3560	ENA|U00096|U00096.3	3724407	3725318	-	912	572	1712	1143	2502	4025	1819	8275	7122	5219	12635	17917	22357	9105	24236	19355
gene-b4553	ENA|U00096|U00096.3	3725413	3725712	-	300	1	2	5	4	7	4	8	12	121	31	61	87	11	29	36
gene-b3561	ENA|U00096|U00096.3	3725887	3726882	+	996	10	22	18	37	70	23	85	86	581	424	581	841	187	441	397
gene-b3562	ENA|U00096|U00096.3	3726924	3727361	-	438	1	2	1	4	11	5	21	13	160	24	39	52	8	20	17
gene-b3563	ENA|U00096|U00096.3	3727407	3727748	-	342	0	0	1	2	8	1	4	4	181	17	14	21	4	4	10
gene-b3564	ENA|U00096|U00096.3	3727917	3729371	-	1455	4	10	10	9	20	8	15	21	1512	62	82	130	34	130	91
gene-b4834	ENA|U00096|U00096.3	3729386	3729545	-	160	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene-b3565	ENA|U00096|U00096.3	3729443	3730765	-	1323	7	19	12	23	36	7	36	35	972	103	156	237	64	239	181
gene-b3566	ENA|U00096|U00096.3	3731131	3732123	+	993	2	3	1	10	7	6	9	10	512	23	27	26	11	30	14
gene-b3567	ENA|U00096|U00096.3	3732201	3733742	+	1542	1	8	2	9	14	7	18	23	554	68	102	124	17	102	100
gene-b3568	ENA|U00096|U00096.3	3733720	3734901	+	1182	6	18	5	12	39	6	28	28	565	129	154	237	78	171	196
gene-b3569	ENA|U00096|U00096.3	3734979	3736157	+	1179	16	44	21	55	92	44	109	106	538	564	821	1078	387	816	740
gene-b3570	ENA|U00096|U00096.3	3736353	3737177	-	825	181	722	484	767	1692	666	2823	3239	2232	10379	14875	17422	4112	8301	9869
gene-b4794	ENA|U00096|U00096.3	3737177	3737203	-	27	0	0	0	0	0	0	0	0	3	4	3	9	3	5	1
gene-b3571	ENA|U00096|U00096.3	3737497	3739527	+	2031	112	234	145	280	448	155	565	524	1301	2132	2819	3179	1500	3404	2380
gene-b3572	ENA|U00096|U00096.3	3739705	3740958	+	1254	161	528	402	563	1095	462	1607	1627	1864	4536	5694	8011	2840	6387	5811
gene-b3573	ENA|U00096|U00096.3	3741109	3741582	-	474	25	85	65	199	269	100	253	231	624	935	1631	2371	1045	2273	1974
gene-b3574	ENA|U00096|U00096.3	3741684	3742532	-	849	46	131	70	169	289	97	333	355	777	1112	1433	1979	855	2139	1716
gene-b3575	ENA|U00096|U00096.3	3742733	3743731	+	999	1	4	4	10	9	10	23	17	437	53	78	126	35	89	84
gene-b3576	ENA|U00096|U00096.3	3743743	3744210	+	468	0	2	0	1	0	0	1	2	160	4	8	24	2	8	11
gene-b3577	ENA|U00096|U00096.3	3744328	3744801	+	474	0	0	0	1	1	0	3	1	90	1	6	6	1	4	2
gene-b3578	ENA|U00096|U00096.3	3744804	3746081	+	1278	0	3	3	0	8	0	5	11	530	13	17	24	5	20	27
gene-b3579	ENA|U00096|U00096.3	3746094	3747080	+	987	0	2	3	1	4	2	4	11	256	8	9	17	7	13	15
gene-b3580	ENA|U00096|U00096.3	3747084	3748580	+	1497	1	7	5	7	21	10	21	21	1271	48	96	105	35	98	103
gene-b3581	ENA|U00096|U00096.3	3748577	3749239	+	663	4	5	3	8	20	9	22	24	432	37	65	96	23	87	62
gene-b3582	ENA|U00096|U00096.3	3749232	3750092	+	861	0	3	0	6	9	2	14	19	266	23	55	64	20	62	53
gene-b3583	ENA|U00096|U00096.3	3750086	3750781	+	696	1	7	2	16	25	15	24	49	280	80	104	190	67	158	134
gene-b3584	ENA|U00096|U00096.3	3751128	3751868	-	741	4	8	1	6	27	6	21	22	460	10	19	23	6	26	11
gene-b3585	ENA|U00096|U00096.3	3751992	3752966	+	975	15	51	32	86	102	48	184	101	449	428	598	742	258	422	470
gene-b3586	ENA|U00096|U00096.3	3752963	3754099	-	1137	2	6	4	8	17	4	21	22	826	44	48	68	17	48	63
gene-b3587	ENA|U00096|U00096.3	3754105	3754428	-	324	0	2	0	1	6	0	6	3	77	15	8	14	2	7	9
gene-b3588	ENA|U00096|U00096.3	3754973	3756511	-	1539	2	10	5	7	19	6	13	24	1240	49	81	106	39	99	85
gene-b3589	ENA|U00096|U00096.3	3756676	3757827	-	1152	21	51	35	101	122	48	210	195	386	308	396	429	149	411	262
gene-b3590	ENA|U00096|U00096.3	3758017	3759861	-	1845	400	1709	1009	1512	2682	920	4326	4382	4055	9957	15579	19061	6556	17528	13065
gene-b3591	ENA|U00096|U00096.3	3759858	3761249	-	1392	271	1217	710	926	1655	584	1552	1808	2200	7582	13890	17751	5472	17387	13329
gene-b3592	ENA|U00096|U00096.3	3761347	3761955	-	609	16	48	27	69	90	34	124	116	422	554	688	1019	341	810	824
gene-b3593	ENA|U00096|U00096.3	3762183	3766316	+	4134	4	13	7	10	30	15	40	74	1030	69	148	153	57	132	112
gene-b3594	ENA|U00096|U00096.3	3766337	3767179	+	843	2	10	7	29	33	14	68	48	243	95	112	203	56	125	114
gene-b3596	ENA|U00096|U00096.3	3768177	3768638	+	462	1	2	0	4	6	1	13	20	189	29	30	49	5	19	20
gene-b4615	ENA|U00096|U00096.3	3769345	3769680	+	336	0	1	2	3	3	3	3	3	108	10	23	29	1	9	9
gene-b3597	ENA|U00096|U00096.3	3770243	3771379	-	1137	2	10	2	15	24	8	20	27	485	60	73	149	38	136	113
gene-b3598	ENA|U00096|U00096.3	3771382	3771744	-	363	1	5	1	5	5	2	4	12	212	19	37	67	21	102	91
gene-b3599	ENA|U00096|U00096.3	3772281	3774194	+	1914	60	184	174	239	436	186	536	570	1346	1553	2136	3896	1194	3433	2961
gene-b3600	ENA|U00096|U00096.3	3774424	3775572	+	1149	82	270	174	269	529	186	583	749	1177	2157	3686	5108	1422	4500	3136
gene-b3601	ENA|U00096|U00096.3	3775572	3776159	+	588	23	95	50	73	159	55	166	249	333	646	1117	1422	391	1509	873
gene-b4554	ENA|U00096|U00096.3	3776171	3776380	-	210	13	35	29	55	125	46	69	108	178	366	675	1061	331	1101	806
gene-b3602	ENA|U00096|U00096.3	3776665	3777027	+	363	62	132	85	204	532	207	622	573	524	1276	1802	2563	865	2307	1841
gene-b3603	ENA|U00096|U00096.3	3777399	3779054	+	1656	8	42	31	25	65	10	107	78	1158	160	177	292	95	241	290
gene-b3604	ENA|U00096|U00096.3	3779054	3779830	+	777	2	8	4	3	10	8	16	25	375	46	58	98	45	76	171
gene-b3605	ENA|U00096|U00096.3	3779827	3781017	+	1191	15	69	48	99	114	59	121	146	1345	481	892	1589	627	1223	2011
gene-b3606	ENA|U00096|U00096.3	3781215	3781688	+	474	27	96	65	110	231	94	295	343	490	681	959	1231	390	1055	792
gene-b3607	ENA|U00096|U00096.3	3781741	3782562	-	822	132	439	263	474	1005	357	1313	1444	1549	3068	5008	5664	1773	4150	3440
gene-b3608	ENA|U00096|U00096.3	3782642	3783661	-	1020	319	967	625	1398	2554	941	3675	3840	2955	6976	10489	12099	4275	9968	8179
gene-b3609	ENA|U00096|U00096.3	3783661	3784128	-	468	393	1101	728	2117	3350	1361	4378	4145	2699	8514	13292	16121	6115	15910	10954
gene-b3610	ENA|U00096|U00096.3	3784191	3784442	-	252	170	493	337	710	1210	458	1624	1674	1057	4653	6579	8586	3307	8826	6192
gene-b3611	ENA|U00096|U00096.3	3784584	3785015	-	432	222	653	442	820	1490	479	2430	2333	1348	5866	7805	9705	3657	9855	7590
gene-b3612	ENA|U00096|U00096.3	3785260	3786804	+	1545	2353	12834	6235	16956	27288	10088	31593	40885	21900	81029	167618	196408	46483	140873	76152
gene-b3613	ENA|U00096|U00096.3	3786838	3788097	+	1260	113	543	318	533	1065	351	1270	1476	1447	4869	7630	9349	2430	5676	4647
gene-b3614	ENA|U00096|U00096.3	3788101	3789060	+	960	38	190	113	158	321	137	392	398	636	1378	1611	1899	694	1644	1238
gene-b3615	ENA|U00096|U00096.3	3789047	3790081	-	1035	378	538	457	1248	1366	566	2537	1307	1583	9622	6462	11268	7893	9654	12972
gene-b3616	ENA|U00096|U00096.3	3790320	3791345	-	1026	531	1447	978	2941	3942	1550	6931	5832	4356	12794	17927	25662	10098	21307	20248
gene-b3617	ENA|U00096|U00096.3	3791355	3792551	-	1197	603	2018	1279	3699	5034	1963	7554	6348	5612	16822	24525	34403	12978	28604	25197
gene-b3618	ENA|U00096|U00096.3	3792826	3793683	-	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3619	ENA|U00096|U00096.3	3793987	3794919	+	933	291	929	603	1151	1998	694	2414	2344	1749	7876	12355	17617	5304	15116	11810
gene-b3620	ENA|U00096|U00096.3	3794929	3795975	+	1047	233	771	504	852	1432	567	1963	2053	1878	6011	8931	11796	4135	10506	8710
gene-b3621	ENA|U00096|U00096.3	3795979	3796938	+	960	99	313	166	277	600	199	694	812	1230	2264	2914	4139	1364	3018	3208
gene-b3622	ENA|U00096|U00096.3	3796948	3798207	+	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4795	ENA|U00096|U00096.3	3797772	3798014	-	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4796	ENA|U00096|U00096.3	3798039	3798149	-	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3623	ENA|U00096|U00096.3	3798239	3799312	-	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3624	ENA|U00096|U00096.3	3799345	3800196	-	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3625	ENA|U00096|U00096.3	3800267	3800965	-	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3626	ENA|U00096|U00096.3	3800983	3801999	-	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3627	ENA|U00096|U00096.3	3802039	3803058	-	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3628	ENA|U00096|U00096.3	3803058	3804137	-	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3629	ENA|U00096|U00096.3	3804181	3805116	-	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3630	ENA|U00096|U00096.3	3805153	3805950	-	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3631	ENA|U00096|U00096.3	3805943	3807067	-	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3632	ENA|U00096|U00096.3	3807064	3808098	-	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4760	ENA|U00096|U00096.3	3808166	3808238	-	73	0	0	0	1	1	0	0	1	0	0	0	1	2	0	0
gene-b3633	ENA|U00096|U00096.3	3808540	3809817	+	1278	83	277	182	283	568	207	807	763	959	2761	3647	4542	1465	3087	2712
gene-b3634	ENA|U00096|U00096.3	3809825	3810304	+	480	39	102	77	132	249	82	300	322	631	950	1146	1359	673	1745	1277
gene-b3635	ENA|U00096|U00096.3	3810343	3811152	-	810	12	43	43	61	183	70	323	455	1451	374	441	617	212	538	445
gene-b3636	ENA|U00096|U00096.3	3811250	3811417	-	168	373	1170	793	1643	3800	1178	7759	6920	3758	15643	20478	24326	9156	23433	13773
gene-b3637	ENA|U00096|U00096.3	3811438	3811674	-	237	1694	5914	4271	7463	16416	5479	30142	27756	17175	73492	93595	118328	42094	102600	71535
gene-b3638	ENA|U00096|U00096.3	3811891	3812559	-	669	90	383	220	441	866	303	1206	1168	918	5201	5719	9454	3341	7270	5558
gene-b3639	ENA|U00096|U00096.3	3812731	3813951	+	1221	123	501	317	532	1046	371	1566	1575	1286	4414	5375	6718	2770	7410	5193
gene-b3640	ENA|U00096|U00096.3	3813929	3814387	+	459	141	453	335	564	1014	419	2000	1931	1467	4428	5394	5900	2353	6302	4255
gene-b3641	ENA|U00096|U00096.3	3814494	3815090	+	597	90	299	177	372	740	269	1332	1406	1223	3255	3836	3979	1563	3808	3136
gene-b3642	ENA|U00096|U00096.3	3815127	3815768	-	642	30	41	26	86	135	42	229	221	606	341	355	426	328	620	894
